"System","Type","Name","SubName","Datatype","Description"
"unknown","contacts","createdDate","","string",""
"unknown","contacts","id","","string",""
"unknown","contacts","info.addresses.items","address","object",""
"unknown","contacts","info.addresses.items","tag","string",""
"unknown","contacts","info.company","","string",""
"unknown","contacts","info.emails.items","email","string",""
"unknown","contacts","info.emails.items","id","string",""
"unknown","contacts","info.emails.items","primary","boolean",""
"unknown","contacts","info.emails.items","tag","string",""
"unknown","contacts","info.extendedFields.items.contacts.displayByFirstName","","string",""
"unknown","contacts","info.extendedFields.items.contacts.displayByLastName","","string",""
"unknown","contacts","info.extendedFields.items.emailSubscriptions.deliverabilityStatus","","string",""
"unknown","contacts","info.extendedFields.items.emailSubscriptions.effectiveEmail","","string",""
"unknown","contacts","info.extendedFields.items.emailSubscriptions.subscriptionStatus","","string",""
"unknown","contacts","info.extendedFields.items.invoices.vatId","","string",""
"unknown","contacts","info.extendedFields.items.members.membershipStatus","","string",""
"unknown","contacts","info.labelKeys.items","","array",""
"unknown","contacts","info.locale","","string",""
"unknown","contacts","info.name.first","","string",""
"unknown","contacts","info.name.last","","string",""
"unknown","contacts","info.phones.items","countryCode","string",""
"unknown","contacts","info.phones.items","id","string",""
"unknown","contacts","info.phones.items","phone","string",""
"unknown","contacts","info.phones.items","primary","boolean",""
"unknown","contacts","info.phones.items","tag","string",""
"unknown","contacts","info.picture.image.height","","integer",""
"unknown","contacts","info.picture.image.id","","string",""
"unknown","contacts","info.picture.image.url","","string",""
"unknown","contacts","info.picture.image.width","","integer",""
"unknown","contacts","info.picture.imageProvider","","string",""
"unknown","contacts","lastActivity.activityDate","","string",""
"unknown","contacts","lastActivity.activityType","","string",""
"unknown","contacts","picture.height","","integer",""
"unknown","contacts","picture.id","","string",""
"unknown","contacts","picture.url","","string",""
"unknown","contacts","picture.width","","integer",""
"unknown","contacts","primaryInfo.email","","string",""
"unknown","contacts","primaryInfo.phone","","string",""
"unknown","contacts","revision","","integer",""
"unknown","contacts","source.appId","","string",""
"unknown","contacts","source.sourceType","","string",""
"unknown","contacts","source.wixAppId","","string",""
"unknown","contacts","updatedDate","","string",""
"unknown","currencies","code","","string",""
"unknown","currencies","symbol","","string",""
"unknown","inventory","externalId","","string",""
"unknown","inventory","id","","string",""
"unknown","inventory","lastUpdated","","string",""
"unknown","inventory","numericId","","string",""
"unknown","inventory","preorderInfo.enabled","","boolean",""
"unknown","inventory","productId","","string",""
"unknown","inventory","trackQuantity","","boolean",""
"unknown","inventory","variants","availableForPreorder","boolean",""
"unknown","inventory","variants","inStock","boolean",""
"unknown","inventory","variants","variantId","string",""
"unknown","members","activityStatus","","string",""
"unknown","members","contactId","","string",""
"unknown","members","createdDate","","string",""
"unknown","members","id","","string",""
"unknown","members","privacyStatus","","string",""
"unknown","members","profile.nickname","","string",""
"unknown","members","profile.slug","","string",""
"unknown","members","status","","string",""
"unknown","members","updatedDate","","string",""
"unknown","orders","activities","timestamp","string",""
"unknown","orders","activities","type","string",""
"unknown","orders","archived","","boolean",""
"unknown","orders","billingInfo.address.addressLine1","","string",""
"unknown","orders","billingInfo.address.city","","string",""
"unknown","orders","billingInfo.address.company","","string",""
"unknown","orders","billingInfo.address.country","","string",""
"unknown","orders","billingInfo.address.email","","string",""
"unknown","orders","billingInfo.address.fullName.firstName","","string",""
"unknown","orders","billingInfo.address.fullName.lastName","","string",""
"unknown","orders","billingInfo.address.phone","","string",""
"unknown","orders","billingInfo.address.subdivision","","string",""
"unknown","orders","billingInfo.address.zipCode","","string",""
"unknown","orders","billingInfo.paidDate","","string",""
"unknown","orders","billingInfo.paymentMethod","","string",""
"unknown","orders","billingInfo.refundableByPaymentProvider","","boolean",""
"unknown","orders","buyerInfo.contactId","","string",""
"unknown","orders","buyerInfo.email","","string",""
"unknown","orders","buyerInfo.firstName","","string",""
"unknown","orders","buyerInfo.id","","string",""
"unknown","orders","buyerInfo.identityType","","string",""
"unknown","orders","buyerInfo.lastName","","string",""
"unknown","orders","buyerInfo.phone","","string",""
"unknown","orders","buyerInfo.type","","string",""
"unknown","orders","buyerLanguage","","string",""
"unknown","orders","channelInfo.type","","string",""
"unknown","orders","currency","","string",""
"unknown","orders","dateCreated","","string",""
"unknown","orders","discount.value","","string",""
"unknown","orders","enteredBy.id","","string",""
"unknown","orders","enteredBy.identityType","","string",""
"unknown","orders","fulfillmentStatus","","string",""
"unknown","orders","fulfillments","","array",""
"unknown","orders","id","","string",""
"unknown","orders","isInternalOrderCreate","","boolean",""
"unknown","orders","lastUpdated","","string",""
"unknown","orders","lineItems","customTextFields","array",""
"unknown","orders","lineItems","index","integer",""
"unknown","orders","lineItems","lineItemType","string",""
"unknown","orders","lineItems","mediaItem","object",""
"unknown","orders","lineItems","name","string",""
"unknown","orders","lineItems","options","array",""
"unknown","orders","lineItems","price","string",""
"unknown","orders","lineItems","priceData","object",""
"unknown","orders","lineItems","productId","string",""
"unknown","orders","lineItems","quantity","integer",""
"unknown","orders","lineItems","refundedQuantity","integer",""
"unknown","orders","lineItems","sku","string",""
"unknown","orders","lineItems","tax","string",""
"unknown","orders","lineItems","taxIncludedInPrice","boolean",""
"unknown","orders","lineItems","totalPrice","string",""
"unknown","orders","lineItems","translatedName","string",""
"unknown","orders","lineItems","weight","string",""
"unknown","orders","number","","integer",""
"unknown","orders","numericId","","string",""
"unknown","orders","paymentStatus","","string",""
"unknown","orders","read","","boolean",""
"unknown","orders","refunds","","array",""
"unknown","orders","shippingInfo.code","","string",""
"unknown","orders","shippingInfo.deliveryOption","","string",""
"unknown","orders","shippingInfo.shipmentDetails.address.addressLine1","","string",""
"unknown","orders","shippingInfo.shipmentDetails.address.city","","string",""
"unknown","orders","shippingInfo.shipmentDetails.address.company","","string",""
"unknown","orders","shippingInfo.shipmentDetails.address.country","","string",""
"unknown","orders","shippingInfo.shipmentDetails.address.email","","string",""
"unknown","orders","shippingInfo.shipmentDetails.address.fullName.firstName","","string",""
"unknown","orders","shippingInfo.shipmentDetails.address.fullName.lastName","","string",""
"unknown","orders","shippingInfo.shipmentDetails.address.phone","","string",""
"unknown","orders","shippingInfo.shipmentDetails.address.subdivision","","string",""
"unknown","orders","shippingInfo.shipmentDetails.address.zipCode","","string",""
"unknown","orders","shippingInfo.shipmentDetails.discount","","string",""
"unknown","orders","shippingInfo.shipmentDetails.priceData.price","","string",""
"unknown","orders","shippingInfo.shipmentDetails.priceData.taxIncludedInPrice","","boolean",""
"unknown","orders","shippingInfo.shipmentDetails.tax","","string",""
"unknown","orders","shippingInfo.shippingRegion","","string",""
"unknown","orders","totals.discount","","string",""
"unknown","orders","totals.quantity","","integer",""
"unknown","orders","totals.shipping","","string",""
"unknown","orders","totals.subtotal","","string",""
"unknown","orders","totals.tax","","string",""
"unknown","orders","totals.total","","string",""
"unknown","orders","totals.weight","","string",""
"unknown","orders","weightUnit","","string",""
"unknown","products","additionalInfoSections","description","string",""
"unknown","products","additionalInfoSections","title","string",""
"unknown","products","collectionIds","","array",""
"unknown","products","convertedPriceData.currency","","string",""
"unknown","products","convertedPriceData.discountedPrice","","decimal",""
"unknown","products","convertedPriceData.formatted.discountedPrice","","string",""
"unknown","products","convertedPriceData.formatted.price","","string",""
"unknown","products","convertedPriceData.price","","integer",""
"unknown","products","costRange.maxValue","","integer",""
"unknown","products","costRange.minValue","","integer",""
"unknown","products","createdDate","","string",""
"unknown","products","customTextFields","","array",""
"unknown","products","description","","string",""
"unknown","products","discount.type","","string",""
"unknown","products","discount.value","","integer",""
"unknown","products","exportProductId","","string",""
"unknown","products","id","","string",""
"unknown","products","inventoryItemId","","string",""
"unknown","products","lastUpdated","","string",""
"unknown","products","manageVariants","","boolean",""
"unknown","products","media.items","id","string",""
"unknown","products","media.items","image","object",""
"unknown","products","media.items","mediaType","string",""
"unknown","products","media.items","thumbnail","object",""
"unknown","products","media.items","title","string",""
"unknown","products","media.mainMedia.id","","string",""
"unknown","products","media.mainMedia.image.height","","integer",""
"unknown","products","media.mainMedia.image.url","","string",""
"unknown","products","media.mainMedia.image.width","","integer",""
"unknown","products","media.mainMedia.mediaType","","string",""
"unknown","products","media.mainMedia.thumbnail.height","","integer",""
"unknown","products","media.mainMedia.thumbnail.url","","string",""
"unknown","products","media.mainMedia.thumbnail.width","","integer",""
"unknown","products","media.mainMedia.title","","string",""
"unknown","products","name","","string",""
"unknown","products","numericId","","string",""
"unknown","products","price.currency","","string",""
"unknown","products","price.discountedPrice","","decimal",""
"unknown","products","price.formatted.discountedPrice","","string",""
"unknown","products","price.formatted.price","","string",""
"unknown","products","price.price","","integer",""
"unknown","products","priceData.currency","","string",""
"unknown","products","priceData.discountedPrice","","decimal",""
"unknown","products","priceData.formatted.discountedPrice","","string",""
"unknown","products","priceData.formatted.price","","string",""
"unknown","products","priceData.price","","integer",""
"unknown","products","priceRange.maxValue","","integer",""
"unknown","products","priceRange.minValue","","integer",""
"unknown","products","productOptions","choices","array",""
"unknown","products","productOptions","name","string",""
"unknown","products","productOptions","optionType","string",""
"unknown","products","productPageUrl.base","","string",""
"unknown","products","productPageUrl.path","","string",""
"unknown","products","productType","","string",""
"unknown","products","ribbon","","string",""
"unknown","products","ribbons","text","string",""
"unknown","products","sku","","string",""
"unknown","products","slug","","string",""
"unknown","products","stock.inStock","","boolean",""
"unknown","products","stock.inventoryStatus","","string",""
"unknown","products","stock.trackInventory","","boolean",""
"unknown","products","variants","","array",""
"unknown","products","visible","","boolean",""
"unknown","products","weight","","integer",""
"unknown","products","weightRange.maxValue","","integer",""
"unknown","products","weightRange.minValue","","integer",""
